Date,HS Code ,Product Name,Quantity,Unit,Unit Price (USD),CIF Value (USD),Importer Name,Supplier Name,Foreign Country
07-May-21,85030090,"GEAR BOX 50 HZ COMPLETE WITH OIL SUPPLY SYSTEM (PARTS OF
W.O.E. GENERATORS FOR MFG. OF TYPE SUZLON S128 MW SERIES)",1,SET,198533.079,198533.079,SUZLON ENERGY LTD,FLENDER GMBH,GERMANY
05-Jan-24,84592990,RADIAL KNIFE PLATES 090508 (5245544) (PARTS OF W O E G),50,NOS,128.78,6439.006,SUZLON ENERGY LTD,HAITCH CO LTD,CHINA
03-Jan-24,85444999,RIBBON CABLE FOR GANTRY OUTPU (31-27237-78) (PARTS OF W O EG),1,PCS,324.28,324.28,SUZLON ENERGY LTD,EASTMAN C R A (HONG KONG) LTD,UNITED STATES OF AMERICA
07-May-21,85030090,"GEAR BOX 50 HZ COMPLETE WITH OIL SUPPLY SYSTEM (PARTS OF
W.O.E. GENERATORS FOR MFG. OF TYPE SUZLON S128 MW SERIES)",1,SET,198533.079,198533.079,SUZLON ENERGY LTD,FLENDER GMBH,CHINA
22-Apr-21,85030090,GEAR BOX 50HZ NGC RATIO 102.1 (PARTS FOR MANUFACTURE OF WIND OPERATED ELECTRICITY GENERATORS FOR S128),3,SET,157139.768,471419.304,SUZLON ENERGY LTD,"NANJING HIGH SPEED GEAR
MANUFACTURING CO LTD",CHINA
27-Jun-21,85030090,"GEAR BOX 50HZ NGC RATIO 102.1 ( QTY.6 SET) (PARTS FOR
MANUFACTURE OF WIND OPERATED ELECTRICITY GENERATORS)",6,SET,134656.727,807940.364,SUZLON ENERGY LTD,NANJING HIGH SPEED GEAR MANUFACTURING CO LTD,GERMANY
03-Jan-24,85015190,X1/X2 MOTOR EAGLE 125 (31-27271) (PARTS OF W O E G0,1,PCS,3450.295,3450.295,SUZLON ENERGY LTD,EASTMAN C R A (HONG KONG) LTD,UNITED STATES OF AMERICA
07-Oct-21,85030090,"GEAR BOX 50HZ NGC RATIO 89.94 6P ( NET WT .25290 KGS)(NON CASTING COMPONETS ) (PARTS FOR
MANUFACTURE OF WIND OPERATED EL",2,KGS,127300.872,254601.745,SUZLON ENERGY LTD,NANJING HIGH SPEED GEAR MANUFACTURING CO LTD,CHINA
07-Oct-21,85030090,"GEAR BOX 50HZ NGC RATIO 89.94 6P ( NET WT .25290 KGS)(NON
CASTING COMPONETS ) (PARTS FOR MANUFACTURE OF WIND OPERATED EL",2,SET,127300.872,254601.745,SUZLON ENERGY LTD,NANJING HIGH SPEED GEAR MANUFACTURING CO LTD,CHINA
27-Jan-24,40169990,INDUSTRIAL RUBBER SEALS CC0058780 51082675 MODEL NO. S- 144/3.0 MW(PARTS OF WOGS FOR MANF. OF WOEGS),12,NOS,803.616,9643.389,SUZLON ENERGY LTD,CARCO PRECISION RUBBER PRODUCTS SPA A SOCIO UNICO,ITALY
23-Sep-21,85030090,"GEAR BOX 50HZ NGC RATIO 89.94 6P ( QTY.101160 KGS)(NON
CASTING COMPONETS ) (PARTS FOR MANUFACTURE OF WIND OPERATED ELECT",8,SET,127300.869,1018406.956,SUZLON ENERGY LTD,NANJING HIGH SPEED GEAR MANUFACTURING CO LTD,NETHERLANDS
27-Jan-24,40169990,INDUSTRIAL RUBBER SEALS CC0058800 51082674 MODEL NO. S- 144/3.0 MW(PARTS OF WOGS FOR MANF. OF WOEGS),13,NOS,738.475,9600.169,SUZLON ENERGY LTD,CARCO PRECISION RUBBER PRODUCTS SPA A SOCIO UNICO,ITALY
